tweet,followers_count,retweet_count
https://twitter.com/ByJohnLMicek/status/796333915460030465,8840,0
https://twitter.com/MarkSchultzy/status/796333599507103745,6420,3
https://twitter.com/TheNewsPress/status/796333234003050496,56079,2
https://twitter.com/TheBankova/status/796332945137106944,3982,29
https://twitter.com/MichaelSSmithII/status/796332940070387712,4870,0
https://twitter.com/drmoore/status/796332939562860544,109410,431
https://twitter.com/NAkufoAddo/status/796332820268548096,115464,317
https://twitter.com/USATODAY/status/796331852688752640,2776123,96
https://twitter.com/KDVR/status/796331534454312960,105090,1
https://twitter.com/channel2kwgn/status/796331534127132672,31294,1
https://twitter.com/IoTchannel/status/796330677658587136,30755,0
https://twitter.com/hmohib/status/796329374559637508,19113,4
https://twitter.com/KellyannePolls/status/796329128525963264,313860,6021
https://twitter.com/Amb_Yakovenko/status/796328386549452800,13956,79
https://twitter.com/MichaelSSmithII/status/796328022295060485,4870,5
https://twitter.com/markknoller/status/796327270432571392,219921,21
https://twitter.com/HashimThaciRKS/status/796325814652567554,27812,31
https://twitter.com/Local12/status/796325511580381184,142147,0
https://twitter.com/OfficialBoBice/status/796325308290973697,21820,3
https://twitter.com/JuanitoSay/status/796324369819639808,38746,2
https://twitter.com/AnastasiadesCY/status/796324031389663233,50985,46
https://twitter.com/nine_oh/status/796323834639093761,1038873,0
https://twitter.com/Donal_OKeeffe/status/796323813290082304,9558,1
https://twitter.com/JedediahBila/status/796322803905679360,194532,60
https://twitter.com/bjptarunchugh/status/796321947260813312,3529,2
https://twitter.com/predsednikSRS/status/796320492357566464,18858,103
https://twitter.com/KarenKingsbury/status/796320204359864320,53844,99
https://twitter.com/PaulKagame/status/796319573368774657,1532060,1209
https://twitter.com/wjrradio/status/796319200306462720,15136,2
https://twitter.com/SkyWilliams/status/796318535144177665,403897,495
https://twitter.com/austindillon3/status/796317486253801472,242990,1049
https://twitter.com/Logunov_Daniil/status/796316632801017856,7729,26
https://twitter.com/OfficeOfRG/status/796315830199824384,1110588,1181
https://twitter.com/bobzimmermp/status/796315322269638656,3712,1
https://twitter.com/Tarunvijay/status/796315074176483329,119124,17
https://twitter.com/CelinaJaitly/status/796314735746678784,861340,15
https://twitter.com/OliverPickup/status/796314615852498944,1676,7
https://twitter.com/OFCWeigel/status/796313840996806656,1126,1
https://twitter.com/BoxerManojkr/status/796312483300376576,9642,19
https://twitter.com/bobzimmermp/status/796312187505549312,3712,2
https://twitter.com/jensstoltenberg/status/796311937005056000,397548,212
https://twitter.com/DrMunishRaizada/status/796311756272451584,13070,1
https://twitter.com/ArgentinaMFA/status/796311192042082304,426,10
https://twitter.com/FredKempe/status/796310813204185088,4959,11
https://twitter.com/AJCGlobal/status/796310412694327296,70710,27
